               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,             0.03446,            0.025065,           0.0093826,             0.67784,             0.69177,             0.74337,             0.48078,            0.023039,            0.010155,            0.014578,            0.008845,            0.008845,            0.008845
                  37,            0.032051,            0.024168,           0.0075131,             0.73412,             0.72175,             0.80104,              0.5263,            0.023739,           0.0097071,           0.0094627,            0.008812,            0.008812,            0.008812
                  38,            0.033863,            0.024636,           0.0072663,             0.80976,             0.74137,             0.80612,             0.51398,            0.025807,            0.010881,           0.0084667,            0.008779,            0.008779,            0.008779
                  39,             0.03334,            0.023529,           0.0068284,             0.90252,              0.6907,             0.85946,             0.57828,            0.022812,            0.009815,           0.0057822,            0.008746,            0.008746,            0.008746
                  40,            0.032914,            0.023534,            0.006047,             0.80496,             0.70897,             0.83222,             0.54959,            0.023849,           0.0098389,           0.0068964,            0.008713,            0.008713,            0.008713
                  41,            0.031861,            0.023387,           0.0057635,             0.86221,             0.78249,             0.87206,             0.59006,            0.023906,           0.0095612,           0.0067471,             0.00868,             0.00868,             0.00868
                  42,            0.030425,            0.023231,           0.0052887,             0.79023,             0.82603,             0.83405,             0.54749,            0.022926,             0.01025,           0.0070142,            0.008647,            0.008647,            0.008647
                  43,            0.030636,            0.022676,           0.0066994,             0.80049,             0.74456,             0.83199,              0.5407,            0.024846,           0.0092007,            0.011765,            0.008614,            0.008614,            0.008614
                  44,            0.029791,            0.022089,            0.008499,             0.79979,             0.73368,             0.81189,             0.55873,            0.021966,           0.0099725,           0.0076597,            0.008581,            0.008581,            0.008581
                  45,            0.030415,             0.02356,           0.0073726,             0.72351,             0.74372,             0.77403,              0.5065,             0.02384,            0.010154,            0.012515,            0.008548,            0.008548,            0.008548
                  46,            0.030701,             0.02298,           0.0072974,             0.79216,             0.74245,             0.81659,             0.54402,            0.025076,            0.010345,            0.010783,            0.008515,            0.008515,            0.008515
                  47,             0.03052,            0.022828,           0.0073403,             0.76222,             0.77427,             0.82001,             0.56839,            0.021014,           0.0099181,            0.012436,            0.008482,            0.008482,            0.008482
                  48,            0.028674,            0.022398,           0.0085586,             0.86547,             0.74364,             0.83965,             0.57693,            0.021799,           0.0096117,            0.011211,            0.008449,            0.008449,            0.008449
                  49,            0.029767,            0.021981,           0.0064198,             0.76118,             0.70047,             0.76231,              0.5122,            0.025495,            0.010441,           0.0088041,            0.008416,            0.008416,            0.008416
                  50,            0.028967,             0.02234,           0.0058767,             0.76037,             0.72716,             0.76988,             0.53307,            0.021224,            0.010028,            0.010009,            0.008383,            0.008383,            0.008383
                  51,            0.028829,            0.021369,           0.0056051,             0.81514,             0.80761,             0.85476,              0.5709,            0.020435,           0.0091037,            0.012665,             0.00835,             0.00835,             0.00835
                  52,            0.027343,            0.019827,           0.0053011,             0.81975,             0.80308,             0.86069,             0.58615,            0.020218,           0.0095094,           0.0088298,            0.008317,            0.008317,            0.008317
                  53,            0.029777,            0.020991,           0.0046067,             0.66292,             0.88167,             0.81409,             0.55073,            0.020112,           0.0093351,           0.0087959,            0.008284,            0.008284,            0.008284
                  54,            0.029983,            0.021741,           0.0054492,             0.80438,             0.84089,             0.88628,             0.62516,            0.020132,           0.0089733,           0.0059831,            0.008251,            0.008251,            0.008251
                  55,            0.027332,            0.020684,           0.0058559,             0.83456,             0.75837,             0.84204,             0.57852,            0.020206,           0.0089659,           0.0095505,            0.008218,            0.008218,            0.008218
                  56,            0.027737,            0.021023,           0.0048476,             0.84154,             0.77601,             0.83728,             0.56293,            0.022326,           0.0093229,           0.0083961,            0.008185,            0.008185,            0.008185
                  57,             0.02871,            0.021082,            0.004669,             0.83875,               0.783,             0.83258,              0.5481,            0.022658,           0.0094924,           0.0081087,            0.008152,            0.008152,            0.008152
                  58,            0.027552,            0.020961,           0.0046091,              0.8191,             0.83883,             0.86454,             0.60775,            0.019925,           0.0086668,           0.0094511,            0.008119,            0.008119,            0.008119
                  59,            0.025529,            0.019169,           0.0047003,             0.86659,             0.77345,             0.86994,              0.6258,            0.019401,           0.0087986,           0.0062226,            0.008086,            0.008086,            0.008086
                  60,             0.02612,            0.020243,           0.0048905,             0.82457,             0.85262,             0.88082,             0.62586,             0.02011,           0.0089145,           0.0068563,            0.008053,            0.008053,            0.008053
                  61,             0.02626,            0.020339,           0.0046643,             0.83742,             0.64903,             0.80809,             0.55327,            0.022017,           0.0093405,           0.0092655,             0.00802,             0.00802,             0.00802
                  62,            0.026566,            0.021676,           0.0045037,             0.87233,             0.82161,             0.88774,             0.61438,            0.021499,           0.0095484,           0.0081546,            0.007987,            0.007987,            0.007987
                  63,             0.02551,            0.020189,           0.0040869,             0.84203,             0.80491,             0.86874,             0.62231,            0.020052,           0.0089797,           0.0090383,            0.007954,            0.007954,            0.007954
                  64,            0.025297,            0.021755,           0.0046729,             0.86852,             0.85293,             0.88956,             0.63434,            0.019659,           0.0097042,           0.0038205,            0.007921,            0.007921,            0.007921
                  65,            0.025754,            0.019286,           0.0045287,             0.88596,              0.8029,             0.88858,             0.65812,            0.019592,            0.008888,           0.0055904,            0.007888,            0.007888,            0.007888
                  66,            0.025208,            0.020069,           0.0046822,             0.85592,             0.81557,             0.87625,             0.60908,            0.020459,           0.0089653,           0.0072494,            0.007855,            0.007855,            0.007855
                  67,            0.025004,            0.018433,           0.0047146,             0.88988,             0.79542,             0.86454,             0.60356,            0.020374,           0.0095988,           0.0058089,            0.007822,            0.007822,            0.007822
                  68,            0.024013,            0.020853,           0.0039879,             0.83296,             0.73213,             0.83004,             0.58891,            0.020087,           0.0094882,            0.009061,            0.007789,            0.007789,            0.007789
                  69,            0.024901,            0.019442,           0.0041095,             0.92394,             0.78712,             0.87367,             0.63951,            0.020913,           0.0087988,           0.0047559,            0.007756,            0.007756,            0.007756
                  70,            0.025453,            0.019574,           0.0036763,             0.87856,             0.82912,             0.89479,             0.65019,            0.020749,           0.0094063,           0.0044622,            0.007723,            0.007723,            0.007723
                  71,            0.024677,            0.018931,           0.0040621,             0.85389,             0.82817,             0.87282,             0.64501,            0.021189,           0.0098338,           0.0045655,             0.00769,             0.00769,             0.00769
                  72,             0.02502,            0.018765,           0.0034602,             0.81847,             0.81826,             0.87614,              0.6109,            0.021328,           0.0098699,           0.0045198,            0.007657,            0.007657,            0.007657
                  73,            0.025293,            0.019805,           0.0038079,             0.86525,             0.87249,             0.91859,             0.66285,            0.018291,           0.0093939,           0.0042905,            0.007624,            0.007624,            0.007624
                  74,            0.024394,            0.019762,            0.003989,             0.83587,             0.84678,             0.88712,              0.6241,            0.019008,           0.0096139,           0.0029009,            0.007591,            0.007591,            0.007591
                  75,            0.023059,            0.018176,           0.0043579,             0.85542,              0.8466,             0.89585,             0.63028,            0.019544,            0.009254,           0.0056666,            0.007558,            0.007558,            0.007558
                  76,            0.024225,            0.019071,           0.0037648,             0.89623,             0.83175,             0.90541,             0.64931,            0.019107,           0.0091535,           0.0028111,            0.007525,            0.007525,            0.007525
                  77,             0.02435,            0.019016,           0.0032902,             0.89004,             0.86048,             0.90468,             0.66369,            0.018995,           0.0090131,           0.0038382,            0.007492,            0.007492,            0.007492
                  78,            0.023485,             0.01863,           0.0040182,             0.93936,             0.82703,             0.88638,             0.65513,            0.018429,           0.0091227,           0.0049576,            0.007459,            0.007459,            0.007459
                  79,            0.023766,            0.018512,           0.0033736,             0.90501,             0.80001,              0.8795,             0.65863,            0.019659,           0.0087704,           0.0068538,            0.007426,            0.007426,            0.007426
                  80,            0.024166,            0.019782,           0.0036729,             0.89339,             0.82242,             0.88795,             0.65168,            0.019882,           0.0092927,           0.0064427,            0.007393,            0.007393,            0.007393
                  81,            0.023753,            0.018613,           0.0040505,             0.84474,             0.81482,             0.88268,             0.63835,            0.019466,           0.0089142,           0.0063098,             0.00736,             0.00736,             0.00736
                  82,             0.02302,            0.018655,           0.0038759,             0.88953,             0.79863,             0.89146,             0.64826,            0.020624,           0.0094944,           0.0040773,            0.007327,            0.007327,            0.007327
                  83,            0.023909,            0.018643,            0.003306,             0.85653,             0.81416,             0.87938,             0.64183,            0.019373,           0.0091957,           0.0030225,            0.007294,            0.007294,            0.007294
                  84,            0.022953,            0.017609,           0.0046669,             0.78057,             0.79258,             0.85004,             0.60095,            0.020943,           0.0090197,             0.01265,            0.007261,            0.007261,            0.007261
                  85,             0.02401,            0.018136,           0.0040568,             0.86325,             0.76208,             0.86548,             0.62577,            0.019437,           0.0089126,           0.0076519,            0.007228,            0.007228,            0.007228
                  86,             0.02316,            0.018544,           0.0036783,             0.84368,              0.8267,             0.84501,             0.63584,            0.019891,           0.0092617,           0.0090523,            0.007195,            0.007195,            0.007195
                  87,            0.023351,             0.01916,           0.0035833,             0.84561,             0.82789,              0.8537,             0.62678,            0.020669,              0.0095,           0.0069951,            0.007162,            0.007162,            0.007162
                  88,            0.021629,            0.017637,           0.0034985,             0.88517,             0.74885,              0.8461,             0.62655,            0.019497,            0.009595,           0.0053402,            0.007129,            0.007129,            0.007129
                  89,            0.021985,            0.017926,           0.0037444,             0.81396,              0.7706,             0.81567,              0.6162,            0.020525,            0.010338,           0.0060153,            0.007096,            0.007096,            0.007096
                  90,            0.022546,            0.018833,           0.0048534,             0.84927,              0.8138,             0.85458,             0.60106,            0.020162,             0.01021,           0.0074046,            0.007063,            0.007063,            0.007063
                  91,            0.022762,            0.017712,           0.0045787,             0.82135,             0.84332,             0.87263,             0.63359,            0.019592,           0.0096087,           0.0081823,             0.00703,             0.00703,             0.00703
                  92,            0.022837,            0.019702,           0.0033548,             0.81623,             0.82467,             0.88943,             0.64128,             0.01832,           0.0085018,            0.007871,            0.006997,            0.006997,            0.006997
                  93,            0.023666,            0.018483,           0.0038142,              0.9255,             0.78151,             0.89289,             0.64862,            0.019083,           0.0089925,           0.0091308,            0.006964,            0.006964,            0.006964
                  94,            0.022953,            0.017421,           0.0034084,             0.83804,             0.80359,             0.83736,             0.61968,            0.020088,           0.0092482,             0.01504,            0.006931,            0.006931,            0.006931
                  95,            0.022414,             0.01955,           0.0035874,             0.77512,             0.88843,             0.88638,              0.6479,            0.017605,           0.0090375,           0.0086421,            0.006898,            0.006898,            0.006898
                  96,            0.023103,            0.018703,           0.0038738,             0.87976,              0.7943,              0.8675,             0.65338,            0.020609,            0.009359,           0.0038724,            0.006865,            0.006865,            0.006865
                  97,            0.022438,             0.01778,           0.0031092,             0.92792,             0.77606,             0.85911,             0.66307,            0.020377,             0.00984,           0.0044964,            0.006832,            0.006832,            0.006832
                  98,            0.021881,            0.019477,           0.0034025,             0.92721,             0.78145,             0.88687,             0.65924,            0.019613,            0.008937,           0.0044897,            0.006799,            0.006799,            0.006799
                  99,            0.021652,            0.016349,           0.0027105,             0.85428,             0.85087,             0.88151,             0.66366,             0.01962,           0.0093834,           0.0046098,            0.006766,            0.006766,            0.006766
                 100,            0.022644,            0.018312,           0.0025876,             0.87124,             0.84473,             0.88082,              0.6561,            0.019978,           0.0093434,           0.0022082,            0.006733,            0.006733,            0.006733
                 101,            0.022148,            0.017845,           0.0029522,             0.83776,             0.84335,             0.87094,             0.65179,            0.018955,           0.0093778,           0.0038441,              0.0067,              0.0067,              0.0067
                 102,            0.021523,            0.017452,           0.0033497,             0.84737,             0.81741,             0.85925,             0.63421,             0.01884,           0.0092314,           0.0053631,            0.006667,            0.006667,            0.006667
                 103,            0.021056,            0.017425,           0.0030743,              0.8858,             0.79618,             0.88549,             0.66573,            0.018101,             0.00895,           0.0035648,            0.006634,            0.006634,            0.006634
                 104,            0.021615,            0.017162,           0.0030246,             0.85292,             0.82447,             0.86482,             0.65294,            0.021526,            0.009063,           0.0064367,            0.006601,            0.006601,            0.006601
                 105,            0.021272,            0.017579,           0.0025989,             0.85588,             0.87562,             0.87431,             0.67598,            0.019996,           0.0082887,           0.0075915,            0.006568,            0.006568,            0.006568
                 106,            0.020865,            0.017179,           0.0026996,             0.93033,               0.806,             0.89435,             0.66942,            0.019206,           0.0092134,           0.0037054,            0.006535,            0.006535,            0.006535
                 107,            0.019784,            0.016707,            0.004418,             0.95986,             0.71771,             0.84493,             0.62633,            0.020642,           0.0099842,            0.004399,            0.006502,            0.006502,            0.006502
                 108,            0.021442,            0.017383,           0.0032875,             0.83722,             0.86156,             0.88628,             0.68251,            0.018934,           0.0093357,           0.0054127,            0.006469,            0.006469,            0.006469
                 109,            0.022037,            0.017558,           0.0035366,             0.89755,             0.78317,             0.85993,             0.66311,            0.018316,           0.0093605,            0.007574,            0.006436,            0.006436,            0.006436
                 110,            0.022482,            0.017081,           0.0032164,             0.92421,             0.81565,             0.85815,             0.66627,            0.019919,           0.0095543,           0.0049654,            0.006403,            0.006403,            0.006403
