               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.035312,            0.025931,           0.0078485,             0.66274,             0.68101,             0.74716,             0.46784,            0.023809,            0.010658,            0.010548,            0.008845,            0.008845,            0.008845
                  37,             0.03629,             0.02424,              0.0101,             0.78206,             0.57434,             0.68332,              0.4443,             0.02558,            0.012562,            0.010732,            0.008812,            0.008812,            0.008812
                  38,             0.03534,            0.028653,            0.010273,             0.63275,             0.55202,             0.65357,             0.40057,            0.025453,            0.012394,             0.01047,            0.008779,            0.008779,            0.008779
                  39,            0.034135,             0.02522,             0.00996,             0.77937,             0.67679,             0.74655,             0.50164,            0.023527,            0.010611,           0.0066343,            0.008746,            0.008746,            0.008746
                  40,            0.032183,            0.025095,           0.0087701,             0.78035,             0.66422,             0.75174,             0.51243,            0.022579,            0.010172,            0.009509,            0.008713,            0.008713,            0.008713
                  41,            0.032891,            0.025595,            0.007541,             0.73828,             0.73863,             0.79804,             0.54229,            0.022626,           0.0098023,           0.0085978,             0.00868,             0.00868,             0.00868
                  42,            0.032524,             0.02433,           0.0073987,                0.64,              0.6997,             0.75636,             0.48707,            0.025457,           0.0092707,            0.013795,            0.008647,            0.008647,            0.008647
                  43,            0.033258,            0.023103,           0.0092497,             0.81583,             0.62995,             0.76367,             0.52883,            0.023151,            0.011485,             0.01487,            0.008614,            0.008614,            0.008614
                  44,            0.032282,             0.02424,            0.007288,             0.87489,             0.74677,             0.82769,             0.55819,             0.02308,           0.0091488,           0.0098511,            0.008581,            0.008581,            0.008581
                  45,            0.031773,            0.023283,            0.006445,             0.91148,             0.75678,             0.86184,             0.58721,            0.023789,           0.0091848,           0.0075089,            0.008548,            0.008548,            0.008548
                  46,            0.030495,            0.023224,           0.0073169,             0.73525,              0.8228,              0.8344,             0.59716,            0.021978,           0.0094612,           0.0081914,            0.008515,            0.008515,            0.008515
                  47,            0.033055,            0.022914,           0.0061451,             0.82951,             0.80735,             0.86874,             0.56526,            0.024074,           0.0098386,           0.0057184,            0.008482,            0.008482,            0.008482
                  48,            0.030531,            0.023521,           0.0069157,             0.84109,             0.73383,             0.82818,             0.59226,            0.021855,           0.0091432,           0.0054434,            0.008449,            0.008449,            0.008449
                  49,            0.028397,            0.022003,           0.0064758,             0.74125,             0.83642,             0.85126,             0.59663,            0.019908,           0.0088013,           0.0066089,            0.008416,            0.008416,            0.008416
                  50,            0.028382,            0.022851,           0.0056927,             0.83476,             0.73901,             0.82697,             0.57917,            0.022102,           0.0092432,           0.0083476,            0.008383,            0.008383,            0.008383
                  51,            0.028982,            0.022342,           0.0052048,             0.77279,             0.82726,             0.85771,             0.63543,            0.020103,           0.0086331,           0.0053357,             0.00835,             0.00835,             0.00835
                  52,            0.028287,            0.021982,           0.0055013,             0.83861,             0.72287,             0.83456,             0.59251,            0.020327,           0.0090045,           0.0075277,            0.008317,            0.008317,            0.008317
                  53,            0.029455,            0.020793,           0.0050781,             0.79108,             0.78259,             0.84015,             0.59395,            0.019947,           0.0092835,           0.0069804,            0.008284,            0.008284,            0.008284
                  54,            0.027986,            0.021582,           0.0047733,             0.75859,             0.72775,             0.78035,             0.55702,            0.020497,           0.0099253,            0.012622,            0.008251,            0.008251,            0.008251
                  55,            0.027678,            0.022663,           0.0056854,             0.87188,             0.76714,             0.83334,             0.60764,            0.021035,            0.010184,           0.0045675,            0.008218,            0.008218,            0.008218
                  56,            0.026382,            0.022379,           0.0048673,             0.79958,             0.76166,             0.80944,              0.6068,            0.019116,           0.0092187,            0.011681,            0.008185,            0.008185,            0.008185
                  57,            0.026992,            0.020703,           0.0047642,             0.86752,             0.79274,             0.87373,             0.63147,            0.020504,           0.0091995,           0.0059618,            0.008152,            0.008152,            0.008152
                  58,            0.026601,            0.020611,           0.0046464,             0.83464,             0.82469,              0.8849,             0.62927,            0.020979,           0.0093925,           0.0042623,            0.008119,            0.008119,            0.008119
